"nom","id_escalier","type_esc","nb_marche","rampe","etage","etage","transport","compatibilite_pmr","localisation"
"Châtelet",1376564,"EF",21,"OUI",-2,,,,"POINT (1651995.7857960004 8184576.61965647)"
"Châtelet",1376558,"EF",9,"NON",-3,,,,"POINT (1652036.4887396628 8184526.089461497)"
"Châtelet",1376563,"EF",7,"OUI",-3,,,,"POINT (1652038.9519174201 8184532.717522365)"
"Châtelet",1376604,"EF",24,"NON",-2,,,,"POINT (1652029.9535060097 8184539.542698032)"
"Châtelet",1376572,"EM",0,"NON",-3,-1,"M","Non","POINT (1652073.861800008 8184515.996200931)"
"Châtelet",1376583,"EM",0,"NON",-3,-3,"M","Non","POINT (1652082.5306000046 8184513.865100932)"
"Châtelet",1376528,"EF",17,"NON",-3,,,,"POINT (1651982.03803079 8184563.054599637)"
"Châtelet",1376551,"EF",16,"NON",-3,,,,"POINT (1652084.9331465717 8184585.514469129)"
"Châtelet",1376550,"EF",5,"NON",-3,,,,"POINT (1652082.068326892 8184583.959043194)"
"Châtelet",1376608,"EF",20,"OUI",-2,,,,"POINT (1652086.7343556832 8184575.933198594)"
"Châtelet",1376602,"EF",18,"OUI",-2,,,,"POINT (1652084.5533365374 8184575.33882885)"
"Châtelet",1376592,"EM",0,"NON",-2,,,,"POINT (1652088.0188525473 8184574.409118185)"
"Châtelet",1376601,"EF",21,"NON",-1,,,,"POINT (1652092.0263997957 8184583.578178579)"
"Châtelet",1376494,"EF",20,"NON",-1,,,,"POINT (1652088.3783090622 8184589.939563557)"
"Châtelet",1376510,"EF",13,"OUI",-2,,,,"POINT (1652112.888104142 8184414.380789344)"
"Châtelet",1376492,"EF",9,"NON",-2,,,,"POINT (1652228.2112215816 8184366.188999788)"
"Châtelet",1376482,"EF",0,"OUI",-2,,,,"POINT (1652116.9602490538 8184413.926435356)"
"Châtelet",1376579,"EF",17,"NON",-4,,,,"POINT (1652083.1322933044 8184599.442680549)"
"Châtelet",1376505,"EF",0,"NON",-4,,,,"POINT (1652052.6436116465 8184661.2743803905)"
"Châtelet",1376489,"EF",20,"NON",-4,,,,"POINT (1652059.4668500095 8184651.60810093)"
"Châtelet",1376588,"EF",9,"NON",-4,,,,"POINT (1652024.193881198 8184676.962738271)"
"Châtelet",1376506,"EF",22,"NON",-4,,,,"POINT (1652039.9364770371 8184637.8481145855)"
"Châtelet",1376503,"EF",18,"NON",-4,,,,"POINT (1652072.1520966562 8184593.489368139)"
"Châtelet",1376491,"EF",16,"NON",-4,,,,"POINT (1652062.6908525226 8184599.20764367)"
"Châtelet",1378398,"EF",9,"OUI",-3,,,,"POINT (1652036.0763888198 8184525.644903044)"
"Châtelet",1378392,"EF",4,"OUI",-1,,,,"POINT (1652045.3863575626 8184528.540539774)"
"Châtelet",1378389,"EF",23,"OUI",-2,,,,"POINT (1651992.0277975698 8184616.887730794)"
"Châtelet",1378406,"EM",0,"OUI",-4,,,,"POINT (1652027.8147023679 8184502.875765215)"
"Châtelet",1378402,"EF",21,"OUI",-4,,,,"POINT (1652024.174787148 8184500.524796024)"
"Châtelet",1378399,"EF",21,"OUI",-4,,,,"POINT (1652027.2164443356 8184506.040838526)"
"Châtelet",1378383,"EM",0,"NON",-4,,,,"POINT (1652029.4675812016 8184501.959564674)"
"Châtelet",1378404,"EF",16,"NON",-4,,,,"POINT (1652034.7464085547 8184517.1654603835)"
"Châtelet",1378393,"EM",0,"NON",-1,,,,"POINT (1652018.290262192 8184577.0321976645)"
"Châtelet",1378405,"EF",12,"OUI",-4,,,,"POINT (1652039.685573495 8184558.4070395315)"
"Châtelet",1378400,"EM",0,"OUI",-4,,,,"POINT (1652035.6257058536 8184524.634734315)"
"Châtelet",1378388,"EF",22,"OUI",-4,,,,"POINT (1652035.665234793 8184528.416764771)"
"Châtelet",1378384,"EM",0,"OUI",-4,,,,"POINT (1652032.4189153083 8184526.418864058)"
"Châtelet",1378385,"EF",22,"OUI",-4,,,,"POINT (1652031.9924390623 8184521.916763873)"
